0,1
cáp pi tồ com mơ sồ trớt,CapitaLand Commercial Trust
a gờ ri banh i mô bai banh kinh,Agribank E-Mobile Banking
vi na miu sao pờ ri ven,Vinamilk Sure Prevent
vin hôm gâu đừn ri vờ,Vinhomes Golden River
cáp pi tồ len mo trớt,CapitaLand Mall Trust
vê xê bê in tơ nét banh kinh,VCB Internet Banking
săn sai xi ti sài gòn,Sunshine City Saigon
phát bi di nít on lai,Fast Business Online
vin hôm roi ồ xi ti,Vinhomes Royal City
săn sai sờ cai vi la,Sunshine Sky Villas
vin hôm tham xi ti,Vinhomes Times City
xi em xi xai bờ si kiu ri ti,CMC Cyber Security
im pe ri a sờ cai ga đừn,Imperia Sky Garden
e lơ gừn pác vi la,Elegant Park Villa
tếch com banh mô bai,TechcomBank Mobile
việt cáp pi tồ banh,Viet Capital Bank
mai cờ rô sóp óp phít,Microsoft Office
mai cờ rô sốp óp phít,Microsoft Office
vin bơn mê ga mon,Vincom Mega Mall
thế giới di động,Thế Giới Di Động
phát xi a em on lai,Fast CRM Online
việt theo te le com,Viettel Telecom
việt theo tê lê com,Viettel Telecom
săn sai ma ri na,Sunshine Marina
on lai tê lê seo,online TeleSale
on lai te le seo,online TeleSale
bim - bim gờ rúp,Bim - Bim Group
săn sai vi la,Sunshine Villas
sin han phai nen,Shinhan Finance
mát tơ rai hôm,Masterise Homes
hua uây mết búc,HUAWEI MateBook
cây em ét tếch no lơ di,KMS Technology
mi mô sa e cô pác,Mimosa Ecopark
eo di i lếch trô ních,LG Electronics
im pe ri a ga đừn,Imperia Garden
xi em en gi nia rinh,CM Engineering
tô giô ta phai nen,Toyota Finance
den nơ rồ ìn ten,general intent
việt theo mô bai,Viettel Mobile
phát phai nen sồ,Fast Financial
con tách xen tờ,contact center
con tắc xen tờ,contact center
hép pi bớt đây,happy birthday
háp pi bớt đây,happy birthday
hép pi niu dia,happy new year
háp pi niu dia,happy new year
xờ bích tu tếch,Speech-to-Text
xờ bích tu tét,Speech-to-Text
xờ pít tu tét,Speech-to-Text
tếch tu xờ bích,Text-to-Speech
tét tu xờ bích,Text-to-Speech
tét tu xờ pít,Text-to-Speech
ti em ây sơ lu sừn,TMA Solutions
em bi ây giớt lai,MB Ageas Life
e cô pác gờ ren,Ecopark Grand
a ma dôn kin đồ,Amazon Kindle
te le ma két ting,telemarketing
tê lê ma két ting,telemarketing
vơ chùa ây giừn,Virtual Agent
vi tùa ây giần,Virtual Agent
vin com ri theo,Vincom Retail
vin com xen tờ,Vincom Center
việt theo sờ to,Viettel Store
sài gòn câu óp,Sài Gòn Co.op
lót te phai nen,Lotte Finance
lếch viu xi ti,LakeView City
hôm in tơ nét,Home Internet
đai i chi lai,Dai-ichi Life
biu ti ga đừn,Beauty Garden
điện máy xanh,Điện Máy Xanh
sài gòn cóp,Sài Gòn Co.op
phôn banh kinh,Phone Banking
vi pi banh pờ ram,VPBank Prime
vin com pờ la da,Vincom Plaza
ti en a hâu đinh,TNR Holdings
gờ ráp ích pờ rét,Grab Express
ép pi ti sóp que,FPT Software
bờ lách phờ rai đây,black friday
ốp ti mum gâu,Optimum Gold
em pai gờ rúp,Empire Group
đi di tồ síp,Digital Ship
việt theo pót,Viettel Post
việt theo pốt,Viettel Post
việt sóp que,Vietsoftware
việt nam pót,Vietnam Post
việt nam pốt,Vietnam Post
sin han banh,Shinhan bank
hua uây goát,HUAWEI Watch
bét nét guốc,Beds Network
còn vợt lít,convert lead
ép đáp liu đi việt nam,FWD Vietnam
ép pi ti tê lê com,FPT Telecom
ép pi ti te le com,FPT Telecom
xi em xi tê lê com,CMC Telecom
xi em xi te le com,CMC Telecom
a xê bê ích pờ rét,ACB Express
ét em ét banh kinh,SMS Banking
ét hát bê phai nen,SHB Finance
em bi banh pờ lớt,MB BankPlus
i vi en phai nen,EVN Finance
i di cờ re đít,Easy Credit
điện máy hát xê,Điện máy HC
óp pồ phai ích,Oppo Find X
mô bi phôn gâu,MobiFone GO
mi rê a sét,Mirae Asset
mê ga ma kít,Mega Market
hôm cờ re đít,Home Credit
gờ rin sờ ta,Green Stars
ga mu đa len,Gamuda Land
ga la xi nốt,Galaxy Note
e pi xi hôm,Epic's Home
áp pồ miu dích,apple music
a ma dôn phai,Amazon Fire
voi bót a i,Voicebot AI
việt com banh,VietcomBank
tếch com banh,TechcomBank
săn ni uôn,Sunny World
ét in voi,S – Invoice
rét mi goát,Redmi Watch
kinh cóp phi,King Coffee
hôm mô bai,Home Mobile
han oa lai,Hanwha Life
gu gồ máp,Google Maps
gu gồ dịch,Google Dịch
seo phôn ét,Cellphone S
ca thay lai,Cathay life
áp pồ goát,apple watch
côn xen tờ,call center
co en din,core engine
đen sờ pót,dance sport
voi ây ai,Voicebot AI
mô na mê đi a,Mona Media
mô na mi đi ờ,Mona Media
hua uây pê bốn mươi,HUAWEI P40
ép pi ti ri teo,FPT Retail
a li ích pờ rét,Aliexpress
vơ chùa kiu xi,Virtual QC
vi tùa quy xi,Virtual QC
việt theo ây ai,Viettel AI
việt cờ re đít,VietCredit
pờ ru đen sồ,Prudential
phàm ma xi ti,Pharmacity
pép si cô la,Pepsi Cola
mi sa i sai,Misa eSign
mê đi a mát,Media Mart
kít pờ la da,Kids Plaza
ga la xi táp,Galaxy tab
cáp pi tồ len,CapitaLand
pê trô li mếch,Petrolimex
gu ri banh,Woori bank
vin óp phít,Vin Office
vi la pác,Villa Park
việt theo pây,ViettelPay
việt tin banh,VietinBank
sóp đờ rim,Softdreams
sa vi áp,Savy - App
rét mi nốt,Redmi Note
rét mi bút,Redmi Buds
lót te mách,Lotte mart
in theo co,Intel Core
háp pi thao,Happy Town
gờ ráp se,Grab Share
đông á banh,DongA Bank
câu óp mát,Co.op Mart
xen in vét,Cen Invest
mát tờ cạc,mastercard
mát tơ cạt,mastercard
năm bờ oăn,number one
cóp mát,Co.op Mart
chúp lai,Chubb Life
sác tăng,Shark Tank
sác tanh,Shark Tank
vi en pi gờ rúp,VNP Group
vê xê bê măn ni,VCB Money
in sờ ta gờ ram,Instagram
hát tê xê me dích,HTC Magic
ép e cờ re đít,FE Credit
ép i cờ re đít,FE Credit
xi i âu gờ rúp,CEO Group
ây ai cam mê ra,AI Camera
in sờ ta gờ ram`,Instagram
vi na cô nếch,Vinaconex
tre vồ lô ca,Traveloka
pi vi com banh,PVcombank
óp pồ ren nô,Oppo Reno
mi sa a mít,MISA AMIS
mai cờ rô sốp,Microsoft
mai cờ rô sóp,Microsoft
lát gờ lâu bồ,LazGlobal
hát đê sai son,HD Saison
gê lê xim cô,Geleximco
i bi di nít,EBusiness
cô ca cô la,Coca Cola
a qua xi ti,Aqua City
in ta gờ ram,Instagram
pa ra mét tờ,parameter
phô tô cóp pi,photocopy
sờ pa ghét ti,spaghetti
tham bờ rồ,Times Pro
sờ troong bâu,Strongbow
sờ ta bấc,Starbucks
sô ha niu,Soha news
sốp pi pay,ShopeePay
sóp pi pay,ShopeePay
sốp bi bay,ShopeePay
sóp bi bay,ShopeePay
sa com riu,SacomReal
sa com banh,SacomBank
sác công banh,SacomBank
pác xi ti,Park City
âu sừn banh,Oceanbank
mích gờ rúp,MIK GROUP
mét sen giơ,messenger
ha na banh,Hana Bank
gờ ráp bai,Grab Bike
xen gờ rúp,Cen Group
xen đề co,Cen Decor
bích đờ rim,Big Dream
ây dờ tếch,ASIA Tech
áp sờ to,App Store
au tu côn,auto call
côn phờ lâu,call flow
công ten nơ,container
ham bơ gơ,hamburger
ma két tinh,marketing
ma két ting,marketing
phô tô sốp,photoshop
phô tô sóp,photoshop
sen ti mần,sentiment
xen ti mần,sentiment
va len thai,valentine
va len tin,valentine
câu côn,cold call
cao đao,countdown
hét phôn,headphone
lai sâu,live show
niu phít,news feed
ních chát,nick chat
ao suộc,outsource
ao sọt,outsource
then kiu,thank you
thanh kiu,thank you
guôn cúp,World Cup
guôn cắp,World Cup
bê ca a vê bờ rồ,Bkav Pro
bê ca a vê pờ rồ,Bkav Pro
mi sa ét em i,MISA SME
hát tê xê hê rô,HTC Hero
a xê bê vi sa,ACB Visa
vi na đa ta,Vinadata
mờ hát bê banh,MHB Bank
lót te ri a,Lotteria
den nơ rồ li,Generali
ga la xi ét,Galaxy S
ép pi ti sóp,FPT Shop
ép pi ti sốp,FPT Shop
đi ai xi cóp,DIC Corp
xi i âu hôm,Ceohomes
a gờ ri banh,Agribank
vi vô búc,VivoBook
vin mát cộng,Vinmart+
vin gờ rúp,VinGroup
vi na miu,Vinamilk
tếch vi na,Techvina
sô ha ghêm,SohaGame
si sây đô,Shiseido
nô va len,Novaland
mô bi phôn,MobiFone
mi nờ guốc,Minawork
men niu lai,Manulife
he ni ken,Heineken
gờ ráp ca,Grab Car
ghi ga bai,gigabyte
e xim banh,Eximbank
e vơ len,Everland
xi ti banh,Citibank
a pha bét,Alphabet
ca phê in,caffeine
ca di gan,cardigan
cô la den,collagen
cô la gien,collagen
cát từm mờ,customer
đa ta bây,database
phờ ri síp,freeship
hôm sờ tây,homestay
in tơ nét,internet
ki lô bai,kilobyte
ki lô gam,kilogram
mê ga bai,megabyte
phờ lát phom,platform
pờ rì biu,prebuilt
tê lê seo,telesale
te le seo,telesale
tay le seo,telesale
tay la seo,telesale
tê lê xeo,telesale
te le xeo,telesale
tay le xeo,telesale
tay la xeo,telesale
ta le seo,telesale
ta la xi,telesale
tê lê sêu,telesale
tê lê xêu,telesale
tem pờ lết,template
tốc bốc ki,tokbokki
voi a i,voice AI
du túp bơ,YouTuber
diu tuýp bơ,YouTuber
du típ bơ,YouTuber
goát sáp,WhatsApp
voi bót,Voicebot
vin bơn,Vinpearl
vin pơn,Vinpearl
vin hôm,Vinhomes
săn sai,Sunshine
săn lai,Sun Life
mi seo,Michelle
lai banh,LiveBank
hang ao,Hangouts
phây búc,Facebook
xen hôm,CenHomes
xen len,Cen Land
bim len,BIM Land
bít bóc,beat box
bật mình,bực mình
đít cao,discount
đao lốt,download
đao loát,download
gút chóp,good job
hót côn,hot call
hót phây,hot face
hót gơn,hot girl
niu gióc,New York
niu óc,New York
ao bao,outbound
sêu óp,sale off
seo óp,sale off
xăn uých,sandwich
sen quýt,sandwich
sốp binh,shopping
sóp pinh,shopping
sâu rum,showroom
trên ning,training
chen ninh,training
tren đing,trending
chen đinh,trending
voi bát,Voicebot
voi bất,Voicebot
voi ót,Voicebot
ai bót,Voicebot
xi i âu sô na,Ceosona
em cờ re đít,Mcredit
a li ba ba,Alibaba
ét mai cờ rô,Admicro
xê hát pờ lây,CH Play
ai vi a bót,IVR bot
ca ra ô kê,karaoke
da lô bay,ZaloPay
da lô pây,ZaloPay
vin xi ti,VinCity
ti pi banh,TP Bank
pi a giô,Piaggio
pi di banh,PG Bank
em bi banh,MB Bank
mờ bê banh,MB Bank
eo di hôm,LG Home
hôm ti vi,Home TV
hát đê banh,HD Bank
di pi banh,GP Bank
gờ pê banh,GP Bank
en cờ lây,Enclave
ê cô pác,Ecopark
i di quép,Easyweb
cô cô bay,Cocobay
xi bi banh,CB Bank
cà phê bít,cafebiz
bê cam mếch,Becamex
ây xi cúc,Acecook
a ma tơ,amateur
mát ca ra,mascara
pen na ti,penalty
pê nan ti,penalty
ben nan ti,penalty
pờ rô dếch,project
bờ rô giét,project
xì căng đan,scandal
sờ ken đồ,scandal
sờ ních cơ,sneaker
sờ tích cơ,sticker
sờ tai lít,stylist
tê lê com,telecom
te le com,telecom
tét xờ ting,testing
vi ta min,vitamin
den búc,ZenBook
diu túp,Youtube
vin tếch,VinTech
vin phát,VinFast
việt theo,Viettel
việt teo,Viettel
ten sen,Tencent
sóp tếch,Softech
si banh,SeABank
sam sung,Samsung
nét linh,Netlink
nam len,Namland
lát môn,Lazmall
lát mo,Lazmall
hót điu,Hotdeal
chát bót,chatbot
e tham,Airtime
ác cao,account
ờ cao,account
banh kinh,banking
côn bót,callbot
còm men,comment
còn phơm,confirm
phan pây,fanpage
phen bây,fanpage
phan bây,fanpage
phan bay,fanpage
phát sừn,fashion
pho goát,forward
pho quợt,forward
gút bai,goodbye
híp hóp,hip hop
hót boi,hot boy
hót lai,hotline
in bao,inbound
lóc ao,log out
mác búc,MacBook
mát xa,massage
mít tinh,meeting
nét guốc,network
nét quốc,network
óp lai,offline
rì quét,request
sơ vít,service
xơ vít,service
síp bơ,shipper
síp pơ,shipper
tét ting,testing
vắc xin,vaccine
vâu chơ,voucher
vâu chờ,voucher
vô chờ,voucher
vao chờ,voucher
bao chờ,voucher
bâu chờ,voucher
goép sai,website
quép sai,website
goeo căm,welcome
do gút,yoghurt
du túp,YouTube
diu tuýp,YouTube
du típ,YouTube
ép pi ti ây ai,FPT AI
xi i âu e đu,Ceoedu
dét hai mươi bốn,Yes 24
i am ma ha,Yamaha
ích pi ri a,XPERIA
bờ ra vi a,BRAVIA
xi ao mi,Xiaomi
vi pi banh,VPBank
vi xi cốp,VCCORP
vi xi cóp,VCCorp
tô giô ta,Toyota
sa vi cô,Savico
o rơ cồ,Oracle
len nô vô,Lenovo
la da đa,Lazada
kênh mười bốn,Kênh14
pha ha sa,Fahasa
ca ni pha,Canifa
a ma dôn,Amazon
a di đát,Adidas
ây bi banh,ABBANK
bi kin ni,bikini
ca mê ra,camera
cam mê ra,camera
xi nê ma,cinema
cờ lai ần,client
cờ lai ừn,client
cờ re đít,credit
en ti ti,entity
ai cờ lao,iCloud
sờ ta tút,status
sờ tây tớt,status
u nét cô,UNESCO
u ni xép,UNICEF
ve ri phai,verify
vơ ri phai,verify
vi en pây,VN Pay
vi en bây,VN Pay
quyn đâu,Window
vi san,VISSAN
tao bao,Taobao
sốp pi,Shopee
sóp pi,Shopee
sốp bi,Shopee
sóp bi,Shopee
sen pây,Senpay
riu mi,Realme
bắp lích,Public
oăn bít,OneBit
nét nam,Netnam
lo síp,Loship
lô síp,Loship
ai phôn,iPhone
hua uây,Huawei
gu gồ,Google
phin ha,Finnha
bi phôn,Bphone
bi tít,Biti's
bê min,Baemin
ách xép,accept
ắc xếp,accept
ác xép,accept
e pót,AirPod
bách cắp,backup
ba lát,ballad
búp phê,buffet
bắp phê,buffet
đô la,dollar
đồ mên,domain
ga ra,garage
kim báp,gimbab
ghi ta,guitar
hách cơ,hacker
hắc cơ,hacker
hót đóc,hotdog
ìn ten,intent
in ten,intent
láp tóp,laptop
lay ao,layout
lây ao,layout
lít đờ,leader
mô bai,mobile
on lai,online
rì pọt,report
rì sọt,resort
rốc két,rocket
xem pồ,sample
xem bồ,sample
xăng đan,sandal
sơ vơ,server
xơ vơ,server
sét ắp,set up
xét ắp,set up
sét tấp,set up
xét tấp,set up
sinh gờ,single
sinh gồ,single
te nít,tennis
tích kít,ticket
úp đết,update
ắp đết,update
áp hết,update
vô luym,volume
vo lum,volume
guyn đâu,Window
da ua,yaourt
chôm,Chorme
i em èn ây ai,EM&AI
i em en ây ai,EM&AI
i ê mờ này ai,EM&AI
i ê mờ nai ai,EM&AI
i em mèn nây ai,EM&AI
i em èn nây ai,EM&AI
i em èn nai ai,EM&AI
em èn ây ai,EM&AI
vi en pay,VNPAY
vin ai đi,VinID
vin ây ai,VinAI
ô mê ga,Omega
nô ki a,Nokia
i đi cô,idico
em èn ai,EM&AI
cà phê ép,CafeF
bờ ra vô,BRAVO
a gô đa,Agoda
ô đi ô,audio
au đi ô,audio
e mờ nai,EM&AI
em mờ nai,EM&AI
em mèn nai,EM&AI
em mè nai,EM&AI
em èn nai,EM&AI
mi cờ rô,micro
pi a nô,piano
pờ la da,plaza
sờ to ri,story
vi đi ô,video
i a hu,Yahoo
uây bô,Weibo
vai bơ,Viber
tai gơ,Tiger
sờ ting,Sting
sô lít,Solid
sen đỏ,Sendo
sen đô,Sendo
sát cô,SASCO
pép si,Pepsi
niu vi,Newvi
mô cha,Mocha
ma san,Masan
ma di,Maggi
lâu tớt,Lotus
lót te,Lotte
la ru,Larue
in theo,Intel
i van,I-VAN
hon đa,Honda
ha neo,Hanel
gâu dếch,Gojek
gờ meo,gmail
di meo,Gmail
ép sóp,FSoft
phút đi,Foody
eo com,ELCOM
i banh,eBank
đờ rai,Drive
xi két,CICAT
áp pồ,Apple
ây dần,agent
ây giần,agent
ây dừn,agent
ây giừn,agent
bờ lốc,block
bờ lóc,block
bờ lắp,block
cờ lích,click
co vờ,cover
ca vờ,cover
cô vy,COVID
cô vít,COVID
cờ rim,cream
đê bút,debut
đề biu,debut
i búc,ebook
e búc,ebook
i mêu,email
i meo,email
en tơ,enter
ì ven,event
ét xeo,excel
ích xeo,excel
pho rum,forum
gờ rúp,group
héc ta,hecta
hê lô,hello
hâu theo,hotel
lô dích,logic
lô ghíc,logic
lóc in,login
mai rô,micro
mâu đồ,model
phô tô,photo
pi da,pizza
ri mích,remix
rô bốt,robot
sa lát,salad
sa lông,salon
sờ mát,smart
sờ to,store
sờ tai,style
súp pơ,super
su si,sushi
vi deo,video
da hu,Yahoo
chếch,check
phôn,phone
vi en pi ti,VNPT
vi bi ét pi,VBSP
ét bi ai xi,SBIC
âu xi bi xi,OCBC
ai xi bi xi,ICBC
hát ét bê xê,HSBC
đi cây a ây,DKRA
bê ca a vê,Bkav
bi ai đi vi,BIDV
xê ét a tê,CSAT
xi ét ây ti,CSAT
mai ti vi,MyTV
ây i on,AEON
da lô,Zalo
vi síp,VSIP
vi nét,Vnet
vi vô,ViVo
u sôn,USol
iu bơ,Uber
u bơ,Uber
ti ma,Tima
ti ki,Tiki
so ni,Sony
sô lô,solo
sờ náp,SNAP
pô lô,Polo
óp pồ,Oppo
nai ki,Nike
nai kì,Nike
mô mô,Momo
mi sa,MISA
lô di,Lozi
li va,Liva
du nô,Juno
ai uây,Iway
ai pát,iPad
gờ ráp,Grab
pha đô,Fado
i sim,eSIM
e bây,Ebay
i bây,Ebay
đô di,DOJI
bích xi,BigC
ây sớt,Asus
e bi,AirB
a xơ,Acer
a xít,acid
au tu,auto
au tô,auto
bây bi,baby
cà phê,cafe
cờ lúp,club
cờ lắp,club
cóp pi,copy
đa ta,data
đề mô,demo
đi va,diva
ê đít,edit
e đít,edit
i pây,epay
e pây,epay
ơ rô,euro
phờ lâu,flow
phờ ri,free
gờ ram,gram
ai đồ,idol
in phô,info
in pho,info
ai bát,iPad
mê nu,menu
me niu,menu
mi ni,mini
na tô,NATO
pờ lây,play
pờ lớt,plus
sờ ken,scan
sô đa,soda
sô pha,sofa
sô chu,soju
xờ pam,spam
xờ bam,spam
tắc xi,taxi
vi da,VISA
vi sa,VISA
quai phai,wifi
đeo,Dell
cạc,card
cạt,card
phêm,fame
phim,film
ghêm,game
gien,gene
pót,post
pốt,post
seo,sale
síp,ship
sốp,shop
sóp,shop
tét,test
dum,Zoom
em mờ pê ba,mp3
vê kép tê ô,WTO
vi a bi,VRB
vi en di,VNG
vi ai bi,VIB
vê hát xê,VHC
vi đi bi,VDB
u ô bê,UOB
ét di xi,SJC
ét hát bê,SHB
ét di bi,SGB
ét xi bi,SCB
ét xê bê,SCB
rờ hát bê,RHB
rờ bờ i,RBI
pi ti ép,PTF
pi en di,PNJ
âu ét pi,OSP
ô xê bê,OCB
nờ xê bê,NCB
en xi bi,NCB
em ét ai,MSI
mờ ét bê,MSB
di ét xi,JSC
ai vi bi,IVB
ai bi em,IBM
hát tê xê,HTC
ép pi ti,FPT
ép lờ xê,FLC
i em ét,EMS
đi ti ét,DTS
đi ti en,DTN
xê pê u,CPU
xi pi diu,CPU
xi em xi,CMC
xê gờ vê,CGV
xi di vi,CGV
bê rờ gờ,BRG
bê hát ép,BHF
bi ây pi,BAP
ây ai ây,AIA
a xê bê,ACB
se vừn ắp,7UP
a bê xê,ABC
ây bi xi,ABC
a bờ cờ,ABC
ây pi ai,API
a tê mờ,ATM
ây ti em,ATM
xi xi diu,ccu
xi i âu,CEO
xi a em,CRM
mờ pê ba,mp3
en eo pi,NLP
en eo bi,NLP
a èn bi,R&B
ét em ét,SMS
ét ô ét,SOS
u ét đê,USD
diu ét đi,USD
yêu ét đi,USD
vê a tê,VAT
vi ai pi,VIP
ni âu,NEO
i phai,Efy
bảy úp,7UP
ô xi,oxy
bờ rồ,pro
pờ rồ,pro
xờ pa,spa
bốt,bot
bót,bot
buýt,bus
èn,and
pây,pay
póp,pop
víp,VIP
goép,web
quép,web
guyn,win
uôn,won
eo di,LG
hát pê,HP
xi pi,CP
xê pê,CP
mười một,11
mười hai,12
mười ba,13
mười bốn,14
mười lăm,15
mười sáu,16
mười bảy,17
mười tám,18
mười chín,19
hai mươi,20
hai mốt,21
hăm mốt,21
hai hai,22
hăm hai,22
hai ba,23
hăm ba,23
hai bốn,24
hai tư,24
hăm bốn,24
hăm tư,24
hai lăm,25
hăm lăm,25
hai nhăm,25
hăm nhăm,25
hai sáu,26
hăm sáu,26
hai bảy,27
hăm bảy,27
hai bẩy,27
hăm bẩy,27
hai tám,28
hăm tám,28
hai chín,29
hăm chín,29
ba mươi,30
ba mốt,31
ba gờ,3G
bốn gờ,4G
năm gờ,5G
a i,AI
ây ai,AI
ai ai,AI
ay ai,AI
xi vi,CV
đi giây,DJ
đi di,DJ
i em,EM
ai ti,IT
ô kê,ok
pi a,PR
quy rờ,QR
quy a,QR
ti vi,TV
mười,10
